date,location,fuel_type,price_usd_mt,source
2019-01-01,SGP_SIN,VLSFO,629.74,SYNTHETIC_DEMO
2019-01-01,SGP_SIN,MGO,806.61,SYNTHETIC_DEMO
2019-01-01,LKA_CMB,VLSFO,645.49,SYNTHETIC_DEMO
2019-01-01,LKA_CMB,MGO,826.78,SYNTHETIC_DEMO
2019-01-01,ARE_FUJ,VLSFO,623.45,SYNTHETIC_DEMO
2019-01-01,ARE_FUJ,MGO,798.54,SYNTHETIC_DEMO
2019-01-02,SGP_SIN,VLSFO,621.92,SYNTHETIC_DEMO
2019-01-02,SGP_SIN,MGO,793.81,SYNTHETIC_DEMO
2019-01-02,LKA_CMB,VLSFO,637.47,SYNTHETIC_DEMO
2019-01-02,LKA_CMB,MGO,813.66,SYNTHETIC_DEMO
2019-01-02,ARE_FUJ,VLSFO,615.7,SYNTHETIC_DEMO
2019-01-02,ARE_FUJ,MGO,785.88,SYNTHETIC_DEMO
2019-01-03,SGP_SIN,VLSFO,613.73,SYNTHETIC_DEMO
2019-01-03,SGP_SIN,MGO,787.17,SYNTHETIC_DEMO
2019-01-03,LKA_CMB,VLSFO,629.08,SYNTHETIC_DEMO
2019-01-03,LKA_CMB,MGO,806.85,SYNTHETIC_DEMO
2019-01-03,ARE_FUJ,VLSFO,607.6,SYNTHETIC_DEMO
2019-01-03,ARE_FUJ,MGO,779.29,SYNTHETIC_DEMO
2019-01-04,SGP_SIN,VLSFO,620.24,SYNTHETIC_DEMO
2019-01-04,SGP_SIN,MGO,801.25,SYNTHETIC_DEMO
2019-01-04,LKA_CMB,VLSFO,635.75,SYNTHETIC_DEMO
2019-01-04,LKA_CMB,MGO,821.28,SYNTHETIC_DEMO
2019-01-04,ARE_FUJ,VLSFO,614.04,SYNTHETIC_DEMO
2019-01-04,ARE_FUJ,MGO,793.24,SYNTHETIC_DEMO
2019-01-05,SGP_SIN,VLSFO,615.16,SYNTHETIC_DEMO
2019-01-05,SGP_SIN,MGO,791.47,SYNTHETIC_DEMO
2019-01-05,LKA_CMB,VLSFO,630.54,SYNTHETIC_DEMO
2019-01-05,LKA_CMB,MGO,811.26,SYNTHETIC_DEMO
2019-01-05,ARE_FUJ,VLSFO,609.01,SYNTHETIC_DEMO
2019-01-05,ARE_FUJ,MGO,783.55,SYNTHETIC_DEMO
2019-01-06,SGP_SIN,VLSFO,605.32,SYNTHETIC_DEMO
2019-01-06,SGP_SIN,MGO,768.94,SYNTHETIC_DEMO
2019-01-06,LKA_CMB,VLSFO,620.46,SYNTHETIC_DEMO
2019-01-06,LKA_CMB,MGO,788.16,SYNTHETIC_DEMO
2019-01-06,ARE_FUJ,VLSFO,599.27,SYNTHETIC_DEMO
2019-01-06,ARE_FUJ,MGO,761.25,SYNTHETIC_DEMO
2019-01-07,SGP_SIN,VLSFO,599.58,SYNTHETIC_DEMO
2019-01-07,SGP_SIN,MGO,765.45,SYNTHETIC_DEMO
2019-01-07,LKA_CMB,VLSFO,614.57,SYNTHETIC_DEMO
2019-01-07,LKA_CMB,MGO,784.59,SYNTHETIC_DEMO
2019-01-07,ARE_FUJ,VLSFO,593.58,SYNTHETIC_DEMO
2019-01-07,ARE_FUJ,MGO,757.8,SYNTHETIC_DEMO
2019-01-08,SGP_SIN,VLSFO,608.07,SYNTHETIC_DEMO
2019-01-08,SGP_SIN,MGO,777.92,SYNTHETIC_DEMO
2019-01-08,LKA_CMB,VLSFO,623.27,SYNTHETIC_DEMO
2019-01-08,LKA_CMB,MGO,797.37,SYNTHETIC_DEMO
2019-01-08,ARE_FUJ,VLSFO,601.98,SYNTHETIC_DEMO
2019-01-08,ARE_FUJ,MGO,770.14,SYNTHETIC_DEMO
2019-01-09,SGP_SIN,VLSFO,604.99,SYNTHETIC_DEMO
2019-01-09,SGP_SIN,MGO,764.71,SYNTHETIC_DEMO
2019-01-09,LKA_CMB,VLSFO,620.12,SYNTHETIC_DEMO
2019-01-09,LKA_CMB,MGO,783.83,SYNTHETIC_DEMO
2019-01-09,ARE_FUJ,VLSFO,598.94,SYNTHETIC_DEMO
2019-01-09,ARE_FUJ,MGO,757.06,SYNTHETIC_DEMO
2019-01-10,SGP_SIN,VLSFO,613.27,SYNTHETIC_DEMO
2019-01-10,SGP_SIN,MGO,789.95,SYNTHETIC_DEMO
2019-01-10,LKA_CMB,VLSFO,628.61,SYNTHETIC_DEMO
2019-01-10,LKA_CMB,MGO,809.7,SYNTHETIC_DEMO
2019-01-10,ARE_FUJ,VLSFO,607.14,SYNTHETIC_DEMO
2019-01-10,ARE_FUJ,MGO,782.06,SYNTHETIC_DEMO
2019-01-11,SGP_SIN,VLSFO,605.93,SYNTHETIC_DEMO
2019-01-11,SGP_SIN,MGO,771.81,SYNTHETIC_DEMO
2019-01-11,LKA_CMB,VLSFO,621.08,SYNTHETIC_DEMO
2019-01-11,LKA_CMB,MGO,791.1,SYNTHETIC_DEMO
2019-01-11,ARE_FUJ,VLSFO,599.87,SYNTHETIC_DEMO
2019-01-11,ARE_FUJ,MGO,764.09,SYNTHETIC_DEMO
2019-01-12,SGP_SIN,VLSFO,614.1,SYNTHETIC_DEMO
2019-01-12,SGP_SIN,MGO,793.99,SYNTHETIC_DEMO
2019-01-12,LKA_CMB,VLSFO,629.46,SYNTHETIC_DEMO
2019-01-12,LKA_CMB,MGO,813.84,SYNTHETIC_DEMO
