date,commodity_name,price,currency,unit,source
2019-01-01,thermal_coal,142.0,USD,per_tonne,SYNTHETIC_DEMO
2019-01-01,iron_ore,120.0,USD,per_tonne,SYNTHETIC_DEMO
2019-01-01,grain,263.69,USD,per_tonne,SYNTHETIC_DEMO
2019-01-02,thermal_coal,141.88,USD,per_tonne,SYNTHETIC_DEMO
2019-01-02,iron_ore,119.98,USD,per_tonne,SYNTHETIC_DEMO
2019-01-02,grain,263.28,USD,per_tonne,SYNTHETIC_DEMO
2019-01-03,thermal_coal,142.85,USD,per_tonne,SYNTHETIC_DEMO
2019-01-03,iron_ore,119.46,USD,per_tonne,SYNTHETIC_DEMO
2019-01-03,grain,263.85,USD,per_tonne,SYNTHETIC_DEMO
2019-01-04,thermal_coal,143.51,USD,per_tonne,SYNTHETIC_DEMO
2019-01-04,iron_ore,119.49,USD,per_tonne,SYNTHETIC_DEMO
2019-01-04,grain,261.17,USD,per_tonne,SYNTHETIC_DEMO
2019-01-05,thermal_coal,144.68,USD,per_tonne,SYNTHETIC_DEMO
2019-01-05,iron_ore,120.48,USD,per_tonne,SYNTHETIC_DEMO
2019-01-05,grain,264.4,USD,per_tonne,SYNTHETIC_DEMO
2019-01-06,thermal_coal,145.34,USD,per_tonne,SYNTHETIC_DEMO
2019-01-06,iron_ore,121.33,USD,per_tonne,SYNTHETIC_DEMO
2019-01-06,grain,261.67,USD,per_tonne,SYNTHETIC_DEMO
2019-01-07,thermal_coal,145.55,USD,per_tonne,SYNTHETIC_DEMO
2019-01-07,iron_ore,123.67,USD,per_tonne,SYNTHETIC_DEMO
2019-01-07,grain,261.2,USD,per_tonne,SYNTHETIC_DEMO
2019-01-08,thermal_coal,146.02,USD,per_tonne,SYNTHETIC_DEMO
2019-01-08,iron_ore,123.28,USD,per_tonne,SYNTHETIC_DEMO
2019-01-08,grain,264.55,USD,per_tonne,SYNTHETIC_DEMO
2019-01-09,thermal_coal,145.45,USD,per_tonne,SYNTHETIC_DEMO
2019-01-09,iron_ore,122.98,USD,per_tonne,SYNTHETIC_DEMO
2019-01-09,grain,268.06,USD,per_tonne,SYNTHETIC_DEMO
2019-01-10,thermal_coal,146.55,USD,per_tonne,SYNTHETIC_DEMO
2019-01-10,iron_ore,122.68,USD,per_tonne,SYNTHETIC_DEMO
2019-01-10,grain,263.32,USD,per_tonne,SYNTHETIC_DEMO
2019-01-11,thermal_coal,147.24,USD,per_tonne,SYNTHETIC_DEMO
2019-01-11,iron_ore,121.83,USD,per_tonne,SYNTHETIC_DEMO
2019-01-11,grain,266.06,USD,per_tonne,SYNTHETIC_DEMO
2019-01-12,thermal_coal,146.79,USD,per_tonne,SYNTHETIC_DEMO
2019-01-12,iron_ore,120.84,USD,per_tonne,SYNTHETIC_DEMO
2019-01-12,grain,266.01,USD,per_tonne,SYNTHETIC_DEMO
2019-01-13,thermal_coal,146.2,USD,per_tonne,SYNTHETIC_DEMO
2019-01-13,iron_ore,121.05,USD,per_tonne,SYNTHETIC_DEMO
2019-01-13,grain,262.61,USD,per_tonne,SYNTHETIC_DEMO
2019-01-14,thermal_coal,146.27,USD,per_tonne,SYNTHETIC_DEMO
2019-01-14,iron_ore,120.14,USD,per_tonne,SYNTHETIC_DEMO
2019-01-14,grain,268.93,USD,per_tonne,SYNTHETIC_DEMO
2019-01-15,thermal_coal,146.95,USD,per_tonne,SYNTHETIC_DEMO
2019-01-15,iron_ore,120.08,USD,per_tonne,SYNTHETIC_DEMO
2019-01-15,grain,270.04,USD,per_tonne,SYNTHETIC_DEMO
2019-01-16,thermal_coal,146.81,USD,per_tonne,SYNTHETIC_DEMO
