date,port,vessels_waiting,average_waiting_days,berth_occupancy_pct,congestion_index,source
2019-01-01,IND_VZG,4,2.59,80.9,1.68,SYNTHETIC_DEMO
2019-01-01,IND_PAR,8,4.42,85.8,3.03,SYNTHETIC_DEMO
2019-01-01,IND_GVM,4,2.39,68.2,1.3,SYNTHETIC_DEMO
2019-01-01,IND_DHM,4,3.48,81.7,2.27,SYNTHETIC_DEMO
2019-01-01,IND_HLD,11,4.92,86.8,3.42,SYNTHETIC_DEMO
2019-01-01,IND_GOP,3,2.1,63.2,1.06,SYNTHETIC_DEMO
2019-01-01,AUS_NEW,9,3.69,90.1,2.66,SYNTHETIC_DEMO
2019-01-01,AUS_HAY,5,2.42,74.3,1.44,SYNTHETIC_DEMO
2019-01-01,IDN_TAB,6,3.64,83.9,2.44,SYNTHETIC_DEMO
2019-01-01,ZAF_RIC,7,2.42,82.1,1.59,SYNTHETIC_DEMO
2019-01-02,IND_VZG,4,2.47,82.7,1.63,SYNTHETIC_DEMO
2019-01-02,IND_PAR,9,4.08,82.6,2.7,SYNTHETIC_DEMO
2019-01-02,IND_GVM,4,2.59,70.3,1.46,SYNTHETIC_DEMO
2019-01-02,IND_DHM,8,2.87,83.5,1.92,SYNTHETIC_DEMO
2019-01-02,IND_HLD,10,4.96,88.6,3.52,SYNTHETIC_DEMO
2019-01-02,IND_GOP,1,1.71,64.9,0.89,SYNTHETIC_DEMO
2019-01-02,AUS_NEW,8,3.45,88.6,2.45,SYNTHETIC_DEMO
2019-01-02,AUS_HAY,4,1.78,75.2,1.07,SYNTHETIC_DEMO
2019-01-02,IDN_TAB,4,3.26,79.2,2.07,SYNTHETIC_DEMO
2019-01-02,ZAF_RIC,6,2.89,83.1,1.92,SYNTHETIC_DEMO
2019-01-03,IND_VZG,3,2.29,80.5,1.47,SYNTHETIC_DEMO
2019-01-03,IND_PAR,8,4.27,83.3,2.85,SYNTHETIC_DEMO
2019-01-03,IND_GVM,5,1.64,67.7,0.89,SYNTHETIC_DEMO
2019-01-03,IND_DHM,6,3.05,77.7,1.9,SYNTHETIC_DEMO
2019-01-03,IND_HLD,12,5.16,90.2,3.72,SYNTHETIC_DEMO
2019-01-03,IND_GOP,5,2.07,67.4,1.12,SYNTHETIC_DEMO
2019-01-03,AUS_NEW,8,4.17,89.3,2.98,SYNTHETIC_DEMO
2019-01-03,AUS_HAY,5,2.68,76.7,1.64,SYNTHETIC_DEMO
2019-01-03,IDN_TAB,6,3.34,85.0,2.27,SYNTHETIC_DEMO
2019-01-03,ZAF_RIC,5,2.62,80.9,1.7,SYNTHETIC_DEMO
2019-01-04,IND_VZG,6,2.51,80.6,1.62,SYNTHETIC_DEMO
2019-01-04,IND_PAR,8,4.55,87.2,3.17,SYNTHETIC_DEMO
2019-01-04,IND_GVM,5,2.77,76.8,1.7,SYNTHETIC_DEMO
2019-01-04,IND_DHM,7,2.96,81.1,1.92,SYNTHETIC_DEMO
2019-01-04,IND_HLD,11,5.76,95.4,4.4,SYNTHETIC_DEMO
2019-01-04,IND_GOP,5,2.26,67.9,1.23,SYNTHETIC_DEMO
2019-01-04,AUS_NEW,7,3.45,88.6,2.45,SYNTHETIC_DEMO
2019-01-04,AUS_HAY,5,2.24,77.7,1.39,SYNTHETIC_DEMO
