date,indicator_name,value,unit,source
2019-01-01,USD_INR,83.1,INR,SYNTHETIC_DEMO
2019-01-01,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-02,USD_INR,83.004,INR,SYNTHETIC_DEMO
2019-01-02,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-03,USD_INR,83.008,INR,SYNTHETIC_DEMO
2019-01-03,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-04,USD_INR,83.087,INR,SYNTHETIC_DEMO
2019-01-04,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-05,USD_INR,83.093,INR,SYNTHETIC_DEMO
2019-01-05,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-06,USD_INR,83.125,INR,SYNTHETIC_DEMO
2019-01-06,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-07,USD_INR,83.096,INR,SYNTHETIC_DEMO
2019-01-07,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-08,USD_INR,83.021,INR,SYNTHETIC_DEMO
2019-01-08,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-09,USD_INR,82.988,INR,SYNTHETIC_DEMO
2019-01-09,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-10,USD_INR,82.948,INR,SYNTHETIC_DEMO
2019-01-10,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-11,USD_INR,82.987,INR,SYNTHETIC_DEMO
2019-01-11,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-12,USD_INR,82.985,INR,SYNTHETIC_DEMO
2019-01-12,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-13,USD_INR,82.991,INR,SYNTHETIC_DEMO
2019-01-13,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-14,USD_INR,83.04,INR,SYNTHETIC_DEMO
2019-01-14,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-15,USD_INR,82.971,INR,SYNTHETIC_DEMO
2019-01-15,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-16,USD_INR,82.978,INR,SYNTHETIC_DEMO
2019-01-16,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-17,USD_INR,82.971,INR,SYNTHETIC_DEMO
2019-01-17,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-18,USD_INR,82.982,INR,SYNTHETIC_DEMO
2019-01-18,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-19,USD_INR,83.092,INR,SYNTHETIC_DEMO
2019-01-19,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-20,USD_INR,83.1,INR,SYNTHETIC_DEMO
2019-01-20,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-21,USD_INR,83.133,INR,SYNTHETIC_DEMO
2019-01-21,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-22,USD_INR,83.107,INR,SYNTHETIC_DEMO
2019-01-22,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-23,USD_INR,83.109,INR,SYNTHETIC_DEMO
2019-01-23,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-24,USD_INR,83.127,INR,SYNTHETIC_DEMO
2019-01-24,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-25,USD_INR,83.161,INR,SYNTHETIC_DEMO
2019-01-25,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-26,USD_INR,83.198,INR,SYNTHETIC_DEMO
2019-01-26,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-27,USD_INR,83.256,INR,SYNTHETIC_DEMO
2019-01-27,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-28,USD_INR,83.288,INR,SYNTHETIC_DEMO
2019-01-28,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-29,USD_INR,83.285,INR,SYNTHETIC_DEMO
2019-01-29,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-30,USD_INR,83.296,INR,SYNTHETIC_DEMO
2019-01-30,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-01-31,USD_INR,83.393,INR,SYNTHETIC_DEMO
2019-01-31,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-01,USD_INR,83.399,INR,SYNTHETIC_DEMO
2019-02-01,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-02,USD_INR,83.414,INR,SYNTHETIC_DEMO
2019-02-02,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-03,USD_INR,83.395,INR,SYNTHETIC_DEMO
2019-02-03,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-04,USD_INR,83.361,INR,SYNTHETIC_DEMO
2019-02-04,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-05,USD_INR,83.391,INR,SYNTHETIC_DEMO
2019-02-05,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-06,USD_INR,83.425,INR,SYNTHETIC_DEMO
2019-02-06,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-07,USD_INR,83.465,INR,SYNTHETIC_DEMO
2019-02-07,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-08,USD_INR,83.49,INR,SYNTHETIC_DEMO
2019-02-08,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-09,USD_INR,83.565,INR,SYNTHETIC_DEMO
2019-02-09,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-10,USD_INR,83.481,INR,SYNTHETIC_DEMO
2019-02-10,INDIA_MANUFACTURING_PMI,57.2,index_points,SYNTHETIC_DEMO
2019-02-11,USD_INR,83.467,INR,SYNTHETIC_DEMO
