date,origin,destination,vessel_class,cargo_type,freight_rate,currency,unit,source
2019-01-01,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.31,USD,per_tonne,SYNTHETIC_DEMO
2019-01-02,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.29,USD,per_tonne,SYNTHETIC_DEMO
2019-01-03,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.37,USD,per_tonne,SYNTHETIC_DEMO
2019-01-04,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.58,USD,per_tonne,SYNTHETIC_DEMO
2019-01-05,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.47,USD,per_tonne,SYNTHETIC_DEMO
2019-01-06,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.69,USD,per_tonne,SYNTHETIC_DEMO
2019-01-07,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.35,USD,per_tonne,SYNTHETIC_DEMO
2019-01-08,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.39,USD,per_tonne,SYNTHETIC_DEMO
2019-01-09,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.2,USD,per_tonne,SYNTHETIC_DEMO
2019-01-10,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.46,USD,per_tonne,SYNTHETIC_DEMO
2019-01-11,AUS_NEW,IND_GVM,Capesize,thermal_coal,13.95,USD,per_tonne,SYNTHETIC_DEMO
2019-01-12,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.23,USD,per_tonne,SYNTHETIC_DEMO
2019-01-13,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.66,USD,per_tonne,SYNTHETIC_DEMO
2019-01-14,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.28,USD,per_tonne,SYNTHETIC_DEMO
2019-01-15,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.15,USD,per_tonne,SYNTHETIC_DEMO
2019-01-16,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.41,USD,per_tonne,SYNTHETIC_DEMO
2019-01-17,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.44,USD,per_tonne,SYNTHETIC_DEMO
2019-01-18,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.23,USD,per_tonne,SYNTHETIC_DEMO
2019-01-19,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.1,USD,per_tonne,SYNTHETIC_DEMO
2019-01-20,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.04,USD,per_tonne,SYNTHETIC_DEMO
2019-01-21,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.27,USD,per_tonne,SYNTHETIC_DEMO
2019-01-22,AUS_NEW,IND_GVM,Capesize,thermal_coal,13.99,USD,per_tonne,SYNTHETIC_DEMO
2019-01-23,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.31,USD,per_tonne,SYNTHETIC_DEMO
2019-01-24,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.23,USD,per_tonne,SYNTHETIC_DEMO
2019-01-25,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.45,USD,per_tonne,SYNTHETIC_DEMO
2019-01-26,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.06,USD,per_tonne,SYNTHETIC_DEMO
2019-01-27,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.88,USD,per_tonne,SYNTHETIC_DEMO
2019-01-28,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.79,USD,per_tonne,SYNTHETIC_DEMO
2019-01-29,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.99,USD,per_tonne,SYNTHETIC_DEMO
2019-01-30,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.43,USD,per_tonne,SYNTHETIC_DEMO
2019-01-31,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.21,USD,per_tonne,SYNTHETIC_DEMO
2019-02-01,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.37,USD,per_tonne,SYNTHETIC_DEMO
2019-02-02,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.56,USD,per_tonne,SYNTHETIC_DEMO
2019-02-03,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.87,USD,per_tonne,SYNTHETIC_DEMO
2019-02-04,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.7,USD,per_tonne,SYNTHETIC_DEMO
2019-02-05,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.5,USD,per_tonne,SYNTHETIC_DEMO
2019-02-06,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.88,USD,per_tonne,SYNTHETIC_DEMO
2019-02-07,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.23,USD,per_tonne,SYNTHETIC_DEMO
2019-02-08,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.1,USD,per_tonne,SYNTHETIC_DEMO
2019-02-09,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.06,USD,per_tonne,SYNTHETIC_DEMO
2019-02-10,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.08,USD,per_tonne,SYNTHETIC_DEMO
2019-02-11,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.04,USD,per_tonne,SYNTHETIC_DEMO
2019-02-12,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.1,USD,per_tonne,SYNTHETIC_DEMO
2019-02-13,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.75,USD,per_tonne,SYNTHETIC_DEMO
2019-02-14,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.57,USD,per_tonne,SYNTHETIC_DEMO
2019-02-15,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.57,USD,per_tonne,SYNTHETIC_DEMO
2019-02-16,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.27,USD,per_tonne,SYNTHETIC_DEMO
2019-02-17,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.64,USD,per_tonne,SYNTHETIC_DEMO
2019-02-18,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.69,USD,per_tonne,SYNTHETIC_DEMO
2019-02-19,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.77,USD,per_tonne,SYNTHETIC_DEMO
2019-02-20,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.89,USD,per_tonne,SYNTHETIC_DEMO
2019-02-21,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.43,USD,per_tonne,SYNTHETIC_DEMO
2019-02-22,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.81,USD,per_tonne,SYNTHETIC_DEMO
2019-02-23,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.75,USD,per_tonne,SYNTHETIC_DEMO
2019-02-24,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.77,USD,per_tonne,SYNTHETIC_DEMO
2019-02-25,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.08,USD,per_tonne,SYNTHETIC_DEMO
2019-02-26,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.15,USD,per_tonne,SYNTHETIC_DEMO
2019-02-27,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.2,USD,per_tonne,SYNTHETIC_DEMO
2019-02-28,AUS_NEW,IND_GVM,Capesize,thermal_coal,14.83,USD,per_tonne,SYNTHETIC_DEMO
2019-03-01,AUS_NEW,IND_GVM,Capesize,thermal_coal,15.21,USD,per_tonne,SYNTHETIC_DEMO
