date,port,wind_speed_kmh,wave_height_m,rainfall_mm,cyclone_alert_level,source
2019-01-01,IND_VZG,16.5,1.3,0.0,None,SYNTHETIC_DEMO
2019-01-01,IND_PAR,15.2,0.53,0.0,None,SYNTHETIC_DEMO
2019-01-01,IND_GVM,15.0,1.67,0.0,None,SYNTHETIC_DEMO
2019-01-01,IND_DHM,18.2,1.37,0.0,None,SYNTHETIC_DEMO
2019-01-01,IND_HLD,13.5,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-01,IND_GOP,10.2,0.95,0.0,None,SYNTHETIC_DEMO
2019-01-01,AUS_NEW,16.7,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-01,AUS_HAY,12.7,0.98,0.0,None,SYNTHETIC_DEMO
2019-01-01,IDN_TAB,17.6,0.78,0.0,None,SYNTHETIC_DEMO
2019-01-01,ZAF_RIC,18.4,0.92,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_VZG,14.0,1.28,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_PAR,17.5,1.23,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_GVM,17.2,1.03,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_DHM,8.4,0.74,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_HLD,26.2,0.69,0.0,None,SYNTHETIC_DEMO
2019-01-02,IND_GOP,10.5,1.21,0.0,None,SYNTHETIC_DEMO
2019-01-02,AUS_NEW,20.6,1.14,0.0,None,SYNTHETIC_DEMO
2019-01-02,AUS_HAY,10.7,0.79,0.0,None,SYNTHETIC_DEMO
2019-01-02,IDN_TAB,18.1,1.17,0.0,None,SYNTHETIC_DEMO
2019-01-02,ZAF_RIC,10.2,0.97,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_VZG,13.5,1.13,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_PAR,12.1,1.36,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_GVM,11.4,1.72,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_DHM,20.3,0.64,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_HLD,14.3,0.79,0.0,None,SYNTHETIC_DEMO
2019-01-03,IND_GOP,18.0,1.35,0.0,None,SYNTHETIC_DEMO
2019-01-03,AUS_NEW,17.8,1.77,0.0,None,SYNTHETIC_DEMO
2019-01-03,AUS_HAY,14.1,1.23,0.0,None,SYNTHETIC_DEMO
2019-01-03,IDN_TAB,14.1,0.69,0.0,None,SYNTHETIC_DEMO
2019-01-03,ZAF_RIC,17.7,1.06,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_VZG,14.8,0.3,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_PAR,13.3,0.37,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_GVM,13.1,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_DHM,6.2,0.85,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_HLD,10.6,0.73,0.0,None,SYNTHETIC_DEMO
2019-01-04,IND_GOP,13.7,0.76,0.0,None,SYNTHETIC_DEMO
2019-01-04,AUS_NEW,13.3,0.49,0.0,None,SYNTHETIC_DEMO
2019-01-04,AUS_HAY,16.2,0.71,0.0,None,SYNTHETIC_DEMO
2019-01-04,IDN_TAB,11.4,1.47,0.0,None,SYNTHETIC_DEMO
2019-01-04,ZAF_RIC,11.9,1.1,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_VZG,14.7,1.01,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_PAR,17.7,0.81,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_GVM,14.7,1.55,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_DHM,20.1,0.68,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_HLD,15.8,0.68,0.0,None,SYNTHETIC_DEMO
2019-01-05,IND_GOP,13.3,1.19,0.0,None,SYNTHETIC_DEMO
2019-01-05,AUS_NEW,12.7,1.58,0.0,None,SYNTHETIC_DEMO
2019-01-05,AUS_HAY,13.9,1.08,0.0,None,SYNTHETIC_DEMO
2019-01-05,IDN_TAB,16.1,1.1,0.0,None,SYNTHETIC_DEMO
2019-01-05,ZAF_RIC,17.1,1.64,0.0,None,SYNTHETIC_DEMO
